text,cleaned_label
 ok ,
 ok ,
 buona giornata ,
 ciao ,
 ok ,
 ciao ,
 perfetto ,
 ciao ,
 grazie ,
 grazie mille ,
 grazie mille ,
 si ,
 grazie mille ,
 grazie mille ,
 grazie ,
 ciao ,
 grazie ,
 ok ,
 grazie ,
 ok ,
 grazie ,
 perfetto la ringrazio  ,
 grazie ,
 ciao ,
 grazie ,
 grazie mille ,
 si ,
 ok ,
 grazie ,
 grazie mille ,
 ok ,
 grazie mille ,
 grazie ,
 grazie ,
 grazie ,
 no ,
 ok ,
 ok ,
 grazie ,
 salve ,
 certo grazie  ,
 grazie mille ,
 ok ,
 si ,
 ok ,
 si  ,
 si ,
 ok ,
 ok ,
 ok ,
 no grazie ,
 grazie ,
 grazie mille ,
 grazie mille ,
 grazie ,
 ciao  ,
 ciao ,
 mille grazie ,
 grazie ,
 no ,
 si ,
 grazie ,
 si ,
 ok ,
 grazie ,
 certo grazie ,
 ok ,
 si ,
 no grazie ,
 ok ,
 grazie ,
 ok ,
 ok grazieaspetto ,
 ok  ,
 grazie a te ? ,
 si ,
 grazie ,
 ciao ,
 salve ,
 ok ,
 grazie ,
 grazie ,
 grazie mille ,
 no grazie  ,
 grazie ,
 va bene ,
 grazie mille ,
 grazie  ,
 grazie ,
 ok ,
 ok ,
 grazie ,
 grazie ,
 ok ,
 si 3457606710 ,
 si ,
 grazie ,
 ok ,
 grazie mille ,
 si ,
 si si ,
 grazie mille ,
 grazie ,
 salve ,
 grazie mille ,
 grazie ,
 grazie ,
 va bene ,
 si ,
 ciao ,
 si ,
 perfetto  ,
 ok ,
 va bene ,
 ok ,
 si ,
 ok ,
 grazie  ,
 buona serata ,
 sì ,
 ok ,
 grazie ,
 buona serata ,
 grazie mille ,
 ok ,
 ok ,
 ok ,
 si ,
 si ,
 salve ,
 ok ,
 ok ,
 buona giornata ,
 ok ,
 grazie mille ,
 no grazie ,
 grazie ,
 grazie ,
 ok ,
 si ,
 grazie ,
 buona giornata ,
 ciao ,
 buona giornata ,
 ok ,
 grazie ,
 grazie ,
 no grazie ,
 va bene ,
 ok ,
 va bene ,
 ok ,
 ok ,
 ok ,
 ok ,
 grazie mille ,
 ciao ,
 ok ,
 si 3393909327 ,
 grazie ,
 ok ,
 ok ,
 si ,
 no ,
 grazie ,
 ok ,
 grazie mille ,
 grazie ,
 grazie mille     ,
 si ,
 si ,
 si ,
 buona serata ,
 ok ,
 ok ,
 si ,
 grazie ,
 grazie  ,
 grazie ,
 ok ,
 grazie ,
 ok  ,
 ok ,
 ok ,
 grazie ,
 no grazie gentilissimoa ,
 si ,
 ok ,
 grazie mille ,
 salve ,
 salve ,
 ok ,
 no grazie gentilissimao ,
 grazie mille ,
 si ,
 grazie ,
 buona serata ,
 va bene ,
 sì ,
 grazie  ,
 buona serata ,
 ok ,
 grazie ,
 certo grazie ,
 grazie mille ,
 ok ,
 ok ,
 grazie mille ,
 grazie ,
 ok ,
 grazie mille ,
 ok ,
 ok ,
 ok ,
 ok ,
 va bene ,
 grazie ,
 si ,
 ok ,
 ok ,
 grazie ,
 si ,
 no ,
 grazie ,
 si ,
 no grazie ,
 ok ,
 ok ,
 no no ,
 grazie ,
 no ,
 no ,
 grazie ,
 si ,
 ok ,
 ciao ,
 grazie ,
 buona serata ,
 grazie ,
 grazie ,
 ciao ,
 grazie ,
 grazie ,
 ok ,
 ciao ,
 ok ,
 ok ,
 buona serata ,
 ciao ,
 ok ,
 si ,
 ciao ,
 grazie ,
 ok ,
 grazie ,
 ok ,
 si ,
 ok ,
 salve ,
 ok ,
 ciao ,
 grazie ,
 ok ,
 grazie ,
 grazie mille  ,
 si  3396287148 ,
 si 3478214014 ,
 ok  ,
 si si ,
 ok ,
 esatto ,
 ok ,
 no grazie ,
 ciao ,
 ok ,
 grazie ,
 ciao ,
 ok ,
 grazie ,
 ciao ,
 ciao ,
 grazie mille ,
 si ,
 si 3401658948 ,
 si ,
 ok ,
 grazie ,
 ok ,
 salve ,
 ok ,
 grazie ,
 grazie ,
 ok ,
 grazie ,
 buona serata ,
 grazie ,
 grazie ,
 ok ,
 grazie mille  ,
 grazie mille ,
 grazie ,
 si ,
 ok ,
 ok ,
 si ,
 si ,
 no ,
 grazie mille ,
 ok ,
 grazie ,
 grazie ,
 si sigrazie ,
 si si ,
 esatto ,
 ok ,
 si ,
 si ,
 no grazie ,
 grazie ,
 ok ,
 si ,
 si 3472558812 ,
 grazie mille ,
 certo grazie ,
 grazie mille ,
 va bene ,
 ok ,
 d accordo ,
 ciao ,
 ottimoo grazie mille ,
 grazie ,
 si ,
 buon giorno ,
 ok ,
 grazie mille ,
 grazie mille gentilissimoa ,
 si si ,
 grazie mille ,
 si ,
 ok ,
 ok ,
 grazie ,
 ok ,
 ok ,
 grazie  ,
 certo grazie ,
 grazie ,
 sì ,
 grazie ,
 grazie mille ,
 ciao ,
 ciao ,
 grazie ,
 grazie mille ,
 grazie mille ,
 sì ,
 no ,
 ok ,
 ok  ,
 ok  ,
 ciao ,
 si ,
 ok ,
 grazie ,
 ok ,
 grazie mille ,
 ok ,
 ciao ,
 grazie ,
 grazie mille ,
 grazie mille ,
 si ,
 grazie mille ,
 ok ,
 no ,
 si ,
 ok ,
 ok ,
 no grazie ,
 ok ,
 ok ,
 no ,
 si ,
 ciao ,
 va bene ,
 grazie ,
 buona serata ,
 grazie ,
 grazie mille ,
 ok ,
 ok ,
 si ,
 ok ,
 grazie ,
 grazie ,
 grazie ,
 si ,
 grazie ,
 no ,
 ok ,
